,n,d/n,generalization_error
0,50,1,0.0656000018119812
1,50,2,0.03680001497268677
2,50,3,0.0029999971389770507
3,50,4,0.0005999922752380372
4,50,5,0.0016000032424926757
5,50,6,0.0
6,50,7,0.0
7,50,8,0.0001999974250793457
8,50,9,0.022200000286102296
9,50,10,0.0001999974250793457
10,60,1,0.052599990367889406
11,60,2,0.028199982643127442
12,60,3,0.0033999919891357423
13,60,4,0.0005999922752380372
14,60,5,0.0
15,60,6,0.022799992561340333
16,60,7,0.0001999974250793457
17,60,8,0.0
18,60,9,0.0
19,60,10,0.0
20,70,1,0.07019999027252197
21,70,2,0.007199990749359131
22,70,3,0.0018000006675720215
23,70,4,0.006000006198883056
24,70,5,0.008399999141693116
25,70,6,0.0
26,70,7,0.0
27,70,8,0.0006000041961669922
28,70,9,0.0
29,70,10,0.0
30,80,1,0.09420000314712525
31,80,2,0.010799992084503173
32,80,3,0.0018000006675720215
33,80,4,0.001399993896484375
34,80,5,0.0005999922752380372
35,80,6,0.0005999922752380372
36,80,7,0.0
37,80,8,0.0
38,80,9,0.0
39,80,10,0.0
40,90,1,0.06380000114440917
41,90,2,0.03259998559951782
42,90,3,0.007400012016296387
43,90,4,0.027199995517730714
44,90,5,0.0001999974250793457
45,90,6,0.0
46,90,7,0.0031999945640563965
47,90,8,0.0
48,90,9,0.0
49,90,10,0.0
50,100,1,0.058599996566772464
51,100,2,0.008999979496002198
52,100,3,0.0039999961853027345
53,100,4,0.007000005245208741
54,100,5,0.004999995231628418
55,100,6,0.002199995517730713
56,100,7,0.0001999974250793457
57,100,8,0.0
58,100,9,0.0001999974250793457
59,100,10,0.0
60,110,1,0.08180000782012939
61,110,2,0.028400003910064697
62,110,3,0.011800003051757813
63,110,4,0.004999995231628418
64,110,5,0.01099998950958252
65,110,6,0.0009999990463256836
66,110,7,0.0006000041961669922
67,110,8,0.0001999974250793457
68,110,9,0.0
69,110,10,0.0
70,120,1,0.0662000060081482
71,120,2,0.02239999771118164
72,120,3,0.007600009441375732
73,120,4,0.0008000016212463378
74,120,5,0.0024000048637390138
75,120,6,0.001399993896484375
76,120,7,0.0
77,120,8,0.0
78,120,9,0.0
79,120,10,0.0
80,130,1,0.056599998474121095
81,130,2,0.03799999952316284
82,130,3,0.019200003147125243
83,130,4,0.013399994373321534
84,130,5,0.0011999845504760743
85,130,6,0.0
86,130,7,0.0003999948501586914
87,130,8,0.0
88,130,9,0.0
89,130,10,0.0
90,140,1,0.0899999976158142
91,140,2,0.026399993896484376
92,140,3,0.011600005626678466
93,140,4,0.0009999990463256836
94,140,5,0.005199992656707763
95,140,6,0.0005999922752380372
96,140,7,0.0
97,140,8,0.0
98,140,9,0.0
99,140,10,0.0
100,150,1,0.07640000581741332
101,150,2,0.0190000057220459
102,150,3,0.021800005435943605
103,150,4,0.007400000095367431
104,150,5,0.0
105,150,6,0.0003999948501586914
106,150,7,0.0
107,150,8,0.0
108,150,9,0.0
109,150,10,0.0
